bookID,bookName,author,price,language,publisher,publishDate,bookImgURL,introduction,ISBN,totalPages,firstCategoryNo,secondCategoryNo,stock
1,圖說演算法－－使用Python,吳燦銘,127,CN,博碩文化股份有限公司,2018-02-15,https://i.imgur.com/fTnHEbf.jpg,理解零負擔，採高 CP 值 Python 語言實作/r/n一本輕量級演算法，是您獲得程式設計新技能，提升自我價值的最好投資/r/n當「寫程式」納入必修課程的趨勢下，程式設計或設計APP已是大部分學生或社會人士必須具備的基礎能力。而演算法更是用來培養程式設計邏輯的基礎理論，也是有志從事資訊工作人員不得不重視的基礎課程。/r/n為了讓讀者能以容易理解的方式吸收演算法與基礎資料結構的相關知識，全書使用簡明的圖例介紹最常用演算法的概念，包括：分治法、遞迴法、貪心法、動態規劃法、疊代法、枚舉法、回溯法…等，並應用不同演算法延伸出重要資料結構，例如：陣列、鏈結串列、堆疊、佇列、樹狀結構、圖形、排序、搜尋、雜湊…等。同時搭配Python程式語言舉例實作，是您入門演算法的最佳首選。,9789864342815,256,100,2,
2,圖解電腦作用與原理,朗懷特,227,CN,上奇科技股份有限公司,2011-10-09,https://i.imgur.com/eyXBwJz.jpg,您不可不知的電腦作用與原理，全在這本《圖解電腦作用與原理》。/r/n圖文解析最清楚：利用時間軸的方式帶出電腦的演進，且每章皆有全彩豐富的圖片，輔以文字解說，清楚解析電腦的裡裡外外。/r/n內容涵蓋最廣泛：從裡到外，除了硬體組件、週邊備配外，還深入有關家庭網絡、網際網路、個人電腦安全等，甚至手機網路如何運作皆有提及。/r/n更新技術最即時：平板電腦構造、藍光光碟技術、iPhone構造、BT技術等，想了解與電腦有關的各各層面，全都在本書中為您一一解惑。,9789862572320,234,100,1,
3,造船的技術與工藝,池田良穗,97,CN,晨星出版社,2014-08-24,https://i.imgur.com/tzSOktC.jpg,巨大的船舶要怎麼組裝？\r\n船上機具和零件又是如何製造？\r\n\r\n本書帶你親臨造船現場，\r\n從船體組裝加工開始，\r\n見識巨型船隻的高精密技術與製造工藝。\r\n\r\n◎ 建好的船要怎麼下水？\r\n◎ 引擎要怎麼製造才不容易在海上故障？\r\n◎ 為什麼船的推進器要做成螺旋槳？\r\n◎ 自動操舵是否可能？\r\n◎ 通信器及雷達的製造技術\r\n◎ 要怎麼塗裝才能防蝕？\r\n◎ 救生艇的製造技術\r\n\r\n\r\n本書特色：\r\n\r\n1、巨大、複雜且精密的船舶怎麼製造，海洋系統工學專家為您解說\r\n2、作者走訪造船廠，以第一手資料帶您參觀船舶的製造現場\r\n3、日本最先端的造船技術與工藝,9789861778709,224,101,1,
4,行動衛星通訊,林進豐,127,CN,五南圖書出版股份有限公司,2007-12-07,https://i.imgur.com/h1mdtwc.gif,　　本書主要針對行動衛星通訊進行編撰。行動衛星產業正逢勃發展，然而對於海洋、山區、偏遠地區、叢林、沙漠等地區及天空上的航空器，明顯地，地面上的蜂巢式行動通訊系統對於這些通訊環境並不適合。另一方面，隨著人類環保意識的抬頭，地面上的蜂巢式行動通訊系統基地台之建置也日益困難，因此行動衛星通訊扮演的角色也日漸重要。\r\n　　本書的第一章敘述地面蜂巢式行動通訊系統的演進，第二章描述與其搭配的行動衛星通訊系統，諸如銥計畫與全球通。第三章和第四章則分別描述在無線電通訊設計中最重要的通訊通道與行動衛星通訊之通道特徵。第五章介紹影響到系統效能之鍵結分析、通道編碼機制和多工技術。第六章為第三代行動通訊系統寬頻分碼進階多工技術衛星版的技術特徵，第八章和第九章則分別介紹地面蜂巢式行動通訊系統與行動衛星通訊系統之核心網路架構。第十章介紹下一世代高速行動衛星網路。\r\n　　本書適合大學相關科系作為教科書使用，與各通訊業界人士及對行動衛星通訊有興趣自修人士作為進修之用。,9789571150062,196,101,3,
5,光纖通信網路,"李揚漢,?許立根",180,CN,五南圖書出版股份有限公司,2007-07-18,https://i.imgur.com/qAMphyH.gif,　　光纖網路系統為通信網路中重要的基礎建設。光纖具備高頻寬、不受干擾及長距離信號傳遞的特性。加上光纖建設成本逐漸降低，所以在新的通信網路建設上光纖技術大量的被引用。光纖網路的應用也成為網際網路重要的發展方向。\r\n　　台灣目前正處於電信自由化的過程，各電信業者與網路供應商正積極建設通信網路系統以因應市場開放後使用者的需求。網路供應商建設有線、無線等各類通信載體作為未來電信服務的基礎。光纖通信網路為目前骨幹網路最重要的一環。因此光纖網路的佈設與應用對於電信政策與科技發展息息相關。\r\n　　本書著重在光纖網路技術，從光通訊元件到多波長網路與波長路由技術等皆有深入淺出的介紹，對培育國內的光通訊網路人才將有顯著貢獻。\r\n,9789571147901,384,101,3,
6,畢氏定理四千年,Eli Maor,117,CN,三民書局股份有限公司,2015-02-01,https://i.imgur.com/mcp0Zsc.jpg,不管從任何角度看來，\r\n畢氏定理都是最廣為人知的數學命題。\r\n\r\n　　作者毛爾 (Eli Maor) 在此書中重述畢氏定理故事的釵h面向，書寫紮實，極富洞察力。他指出畢達哥拉斯證得畢氏定理的千餘年前，巴比倫人就已經發現勾股間巧妙的數學關係。畢達哥拉斯也閉O證明畢氏定理的第一人，但他卻沒有遺留給我們任何相關文本。即便如此，畢氏定理卻成為所有（無論理論還是應用）科學的基石。毛爾重現畢氏定理在數學史上的關鍵要角，為這流傳酗[的數學遺產增添釵h繽紛色彩。,9789571448435,320,102,1,
7,地震的故事,劉興詩,98,CN,中華書局(香港)有限公司,2013-04-05,https://i.imgur.com/3lyisZX.jpg,地震到底是怎麼一回事？是傳說中的大鯰魚在地下動麼？還是自古以來人們所認為的是上天對人們所犯過錯的懲罰？或者只是一種純天然的現象？……閱讀本書，了解更多有關地震的科學故事。,9789888236305,220,102,1,
8,遇見特暴龍,孫昱,133,CN,白象文化,2018-01-01,https://i.imgur.com/lhu2VL8.jpg,以故事繪本的方式介紹特暴龍的一生，有知識，有感性，讓人真實的陪牠走過這段旅程。\r\n\r\n◎ 古生物骨骼模型製作家栩栩如生的精緻繪圖，呈現白堊時代的動植物生態。\r\n◎ 講述主角特暴龍的一生，帶你近身觀察特暴龍的生活型態與生命歷程。\r\n◎ 身歷其境的敘述方式情趣盎然，成人與孩童皆合適閱讀的繪本。\r\n\r\n一個陰天的下午，有人送來了一個包裹和一封信。包裹是一個大型獸腳類恐龍的下顎骨化石，信卻是兩年前他寫給自己的：「你甘願一輩子只看石頭和圖片裡的牠們嗎？」\r\n\r\n於是這封奇妙的信，帶他穿越了時光，來到七千萬年前的白堊紀，親眼看見大型獸腳類恐龍──特暴龍，從孵化、生長、成年、流浪、成家、生子、喪偶到死亡的一生過程。\r\n\r\n在母親構築的這個半球體堡壘裡邊，一些小傢伙正從長橢圓形的蛋裡努力爬出。這些新出殼的寶寶完全不像他們的父母，看起來更像是鱷魚和小鳥的奇怪組合。\r\n\r\n牠們進入了快速生長的週期，垂羽正逐步替換以前蓬鬆的絨毛，儘管依然看上去纖細，實際上牠們此時的體重已經達到了990磅左右，而且還在以一種驚人的速度持續增加。\r\n\r\n在失去父親的當口，河口鱷又突襲成功，家庭又一次失去了一名成員。孤獨的男孩只好主動放棄了這裡，在黃昏到來時沿著海岸線踏上了流浪的道路。\r\n\r\n現在的他已經準備好開始一段全新的生活了，他遇到了另一個孤獨的姑娘，求偶的時刻到來了。牠們如同自己的父母當年那樣，修築了一座巢穴，那裡有牠們愛情的結晶。\r\n\r\n在巢穴的邊上，丈夫守候著重傷的妻子，妻子最終還是沒有捱過去，在第三天，她永久地離開了。但年輕夫妻的孩子有兩隻成功地孵化出殼。\r\n\r\n又是一個暴雨多發的夏季，這個最強大的掠食者在洪水面前依然如同螻蟻一般渺小。他吼叫著驅趕自己的孩子離開，唯一的希望就是孩子能夠平安到達對岸的高地。\r\n\r\n洪水把他帶到了20英里以外的下游河口，他的屍體被泥漿緊緊包裹著沉下來，沉入飛逝的時間河流，直到有一天我再次見到他，在我原來的時代，他安靜地躺著……,9789863585862,56,103,1,
9,終極恐龍百科,DON LESSEM,232,CN,大石國際文化有限公司,2018-01-15,https://i.imgur.com/I0beVa9.jpg,恐龍迷注意！\r\n\r\n有史以來最完整的恐龍百科——《國家地理學會終極恐龍百科》隆重推出2018全新增訂版，全書收錄超過600種恐龍，書中資訊皆經由國家地理學會與恐龍學者考據，所有插圖為知名恐龍畫家精心繪製，每種特色恐龍旁皆以資訊方塊呈現該種恐龍的豐富知識，例如：學名、發現者、發現時間與地點、長度、習慣、飲食、趣味小故事以及分布區域等。大小讀者都可以充滿知識性且極有效率的方式獲得關於各種恐龍的知識，如果你沒看過這本，千萬不要說你是恐龍專家！\r\n\r\n恐龍大概是地球上曾經存在的生物中，最能激發人們無限想像力的一群。牠們吃些什麼？住在哪裡？體型多大？又為何在6500萬年前從地球上消失了？關於恐龍，無論大人或小孩似乎總有無盡的好奇與疑問。隨著全球各地出土的化石越來越多，科學家對於恐龍有了更深一層的認識。\r\n\r\n你知道史上最激烈的動物大戰發生在什麼時候嗎？\r\n可能發生的恐龍對決前十名又是哪些呢？\r\n最讓人恐懼的十大捕食性恐龍排行榜？\r\n恐龍也會成群漫遊進行大遷徙嗎？\r\n南北半球的恐龍長得一樣嗎？\r\n所有的恐龍都是體型龐大、頭腦不好的動物？\r\n恐龍化石是如何形成的？\r\n\r\n除了一般人都知道的恐龍之外，《國家地理學會終極恐龍百科》更獨家網羅了許多一般人不知道的恐龍知識，例如在電影《侏羅紀公園》中，雙脊龍被塑造成口噴毒液的小型恐龍，脖子還長著傘狀皮膜。其實雙脊礱是大型恐龍，身上也沒有恐怖的皮膜和毒液，而在美國發現的「霸王龍」，在亞洲竟然有一個幾乎一模一樣的親戚，那就是特暴龍。徹底閱讀本書，絕對讓你對恐龍更了若指掌！,9789578722040,296,103,1,
10,世界地圖旅行,李惠晶,133,CN,螢火蟲文化事業有限公司,2017-08-01,https://i.imgur.com/DaGmkrH.jpg,你知道嗎？\r\n要花上7天6夜，才能走完西伯利亞鐵路\r\n有超過50個國家，都使用英語作為官方語言\r\n緯度0度的赤道，影響了非洲的大部分氣候\r\n有超過20000個島嶼，分布在大洋洲的海洋上\r\n巴拿馬運河，為船隻省下14800公里的航行\r\n世界上1/4的氧氣，都是亞馬遜雨林所製造的\r\n北冰洋跟南極洲有1/2的時間處於永夜，另外1/2則處於永晝\r\n\r\n7大洲手繪地圖，15項主題跨頁\r\n帶你推開通往世界的大門，探索豐富精彩的知識！,9789864520961,64,103,2,
